0,0,0,368.59,46258
1,0,0,368.59,46258
3,0,0,368.59,46258
4,0,0,368.59,46258
5,0,0,368.59,46258
7,0,0,368.58,46258
8,0,0,368.58,46258
9,0,0,368.58,46258
10,0,0,368.58,46258
11,0,0,368.58,46258
13,0,0,368.57,46258
14,0,0,368.57,46258
15,0,0,368.57,46258
16,0,0,368.57,46258
17,0,0,368.57,46258
19,0,0,368.56,46258
20,0,0,368.56,46258
21,0,0,368.56,46258
22,0,0,368.56,46258
24,0,0,368.56,46258
25,0,0,368.55,46258
26,0,0,368.55,46258
27,0,0,368.55,46258
29,0,0,368.55,46258
30,0,0,368.54,46258
32,0,0,368.54,46258
33,0,0,368.54,46258
34,0,0,368.54,46258
35,0,0,368.54,46258
36,0,0,368.53,46258
37,0,0,368.53,46258
38,0,0,368.53,46258
39,0,0,368.53,46258
40,0,0,368.53,46258
41,0,0,368.53,46258
43,0,0,368.52,46258
44,0,0,368.52,46258
45,0,0,368.52,46258
46,0,0,368.52,46258
47,0,0,368.52,46258
48,0,0,368.51,46258
49,0,0,368.51,46258
50,0,0,368.51,46258
51,0,0,368.51,46258
52,0,0,368.51,46258
53,0,0,368.51,46258
54,0,0,368.50,46258
55,0,0,368.50,46258
56,0,0,368.50,46258
57,0,0,368.50,46258
58,0,0,368.50,46258
59,0,0,368.50,46258
60,0,0,368.49,46237
61,0,0,368.49,46205
62,0,0,368.49,46205
64,0,0,368.49,46140
65,0,0,368.49,46140
66,0,0,369.05,46141
67,0,0,369.05,46012
68,0,0,369.05,46012
69,0,0,369.05,46012
70,0,0,369.05,46012
71,0,0,369.04,46012
72,0,0,369.04,46012
73,0,0,369.04,46012
74,0,0,369.04,45755
75,0,0,369.04,45755
76,0,0,369.04,45755
77,0,0,369.03,45755
78,0,0,369.03,45755
79,0,0,369.03,45755
80,0,0,369.03,45755
81,0,0,369.03,45755
82,0,0,369.12,45757
83,0,0,369.32,45757
85,0,0,369.41,45757
86,0,0,369.41,45757
87,0,0,370.75,45757
88,0,0,370.79,45757
89,0,0,370.78,45243
90,0,0,370.78,45243
91,0,0,370.78,45243
92,0,0,370.78,45243
93,0,0,370.78,45243
94,0,0,370.78,45243
95,0,0,370.77,45243
96,0,0,370.77,45243
97,0,0,370.77,45243
98,0,0,370.77,45243
99,0,0,370.77,45243
100,0,0,370.76,45243
101,0,0,370.76,45243
102,0,0,370.86,45243
103,0,0,372.24,45245
104,0,0,372.27,45245
105,0,0,372.26,45245
106,0,0,372.26,45245
